Locationid,Location,LocPropertyType,LocProvince,LocPostal,LocDistrict,LocRegion,RegionName,Market,PopulationRank,FundraisingYear,cy_funds,cy_1_funds,cy_2_funds,change,target,cy_checkins,cy_1_checkins,cy_2_checkins,cy_contacts,cy_1_contacts,cy_2_contacts,cy_images,cy_1_images,cy_2_images,cy_notes,cy_1_notes,cy_2_notes
127579,1299,Buy More Supercenter,AZ,86326,364,54,West,Phoenix,3,2016,4083.6234,7586.24,34706.72,-0.461706537,0,0,0,0,0,0,0,0,0,0,0,0,0
131861,734,Buy More Supercenter,AL,36330,7,3,Southeast,Birmingham,3,2018,13208.9296,18350.3198,34618.3466,-0.280179869,0,7,4,0,0,1,0,6,3,0,2,0,0
127605,1321,Buy More Supercenter,NC,27577,299,27,Southeast,Raleigh-Durham,3,2017,8481.1598,38068.5433,34577.25,-0.77721344,0,2,2,0,1,1,0,1,0,0,1,2,0
129426,3216,Buy More Supercenter,VA,23456,289,27,Northeast,Norfolk-Portsmouth,2,2018,16080.3694,23763.96,34243.7133,-0.323329555,0,1,0,3,0,0,0,0,0,4,1,0,3
128856,2529,Buy More Supercenter,VA,23456,289,27,Northeast,Norfolk-Portsmouth,2,2017,13326.4298,22191.37,34172.63,-0.399476923,0,0,4,0,0,0,0,0,2,0,0,4,0
127637,1351,Buy More Supercenter,WV,25801,317,41,Northeast,Charleston-Huntington,2,2016,28987.7533,24281.38,34119.64,0.193826434,0,2,0,0,1,0,0,3,0,0,1,0,0
127468,1197,Buy More Supercenter,NC,27804,301,27,Southeast,Raleigh-Durham,3,2017,14980.53,21795.3365,34041.14,-0.31267269,0,3,2,0,1,2,0,1,2,0,2,2,0
127335,1075,Buy More Supercenter,TN,37042,149,12,Southeast,Nashville,2,2016,23559.89,39103.17,33890.34,-0.397494116,0,0,0,0,2,0,0,0,0,0,0,0,0
128268,192,Buy More Supercenter,TN,38401,151,12,Southeast,Nashville,2,2016,27431.86,36223.79,33830.53,-0.242711489,0,0,0,0,2,0,0,0,0,0,0,0,0
129472,3265,Buy More Supercenter,VA,23693,288,27,Northeast,Norfolk-Portsmouth,2,2016,42116.4568,37041.72,33823.41,0.137000571,0,4,0,0,2,0,0,3,0,0,6,0,0
130264,4583,Buy More Supercenter,SC,29615,35,4,Southeast,"Greenville, SC",2,2016,18999.4667,30611.63,33793.06,-0.379338287,0,0,0,0,0,0,0,0,0,0,0,0,0
128479,2115,Buy More Supercenter,OH,44663,216,20,Northeast,Akron,2,2018,40575.32,22136.0599,33743.6234,0.832996486,1,12,6,6,0,0,1,22,4,0,8,6,5
128140,1805,Buy More Supercenter,CA,92253,463,57,West,Los Angeles,3,2016,11768.9334,26573.46,33654.12,-0.557117011,0,0,0,0,0,0,0,0,0,0,0,0,0
128180,1841,Buy More Supercenter,VA,23320,289,27,Northeast,Norfolk-Portsmouth,2,2016,25184.2099,24201.99,33598.09,0.040584262,0,2,0,0,1,0,0,1,0,0,2,0,0
127398,1132,Buy More Supercenter,NC,27203,298,26,Southeast,Raleigh-Durham,3,2016,12425.06,35851.89,33415.82,-0.653433613,0,2,0,0,3,0,0,0,0,0,2,0,0
127491,1217,Buy More Supercenter,NC,28734,294,4,Southeast,"Greenville, SC",2,2017,24613.6098,29595.6,33414.29,-0.168335503,0,2,0,0,0,0,0,2,0,0,2,0,0
130816,5346,Buy More Supercenter,NC,27302,296,26,Southeast,Raleigh-Durham,3,2017,25605.4998,11655.6602,33396.96,1.19682964,1,11,4,0,3,1,0,27,4,0,7,2,0
127292,1036,Buy More Supercenter,NC,28043,294,4,Southeast,"Greenville, SC",2,2017,13990.32,39195.6132,33282.83,-0.643064138,0,2,0,0,0,0,0,0,0,0,2,0,0
128306,1955,Buy More Supercenter,IL,61114,263,25,Central,Chicago,3,2017,7614.7,17424.7734,33202.05,-0.562995752,0,3,3,0,2,1,0,2,5,0,3,2,0
128427,2068,Buy More Supercenter,PA,19055,170,22,Northeast,Philadelphia,3,2018,21704.9994,21656.4,33166.5332,0.002244113,0,0,0,0,0,0,0,0,0,0,0,0,0
129797,3645,Buy More Supercenter,TX,79701,73,44,Central,Odessa-Midland,1,2018,19358.8399,17457.3699,33128.7267,0.10892076,0,2,4,2,3,1,0,1,8,9,0,0,1
130730,5253,Buy More Supercenter,VA,23322,289,27,Northeast,Norfolk-Portsmouth,2,2016,25088.3767,25287.85,32994.18,-0.007888108,0,4,0,0,0,0,0,0,0,0,3,0,0
129878,3763,Buy More Supercenter,TX,79938,505,46,Central,El Paso,1,2018,28144.8394,57576.46,32899.7365,-0.511174543,0,4,2,0,0,0,0,3,0,0,0,0,0
129230,2921,Buy More Supercenter,UT,84404,401,54,West,Salt Lake City,3,2017,18220.8299,24227.7301,32810.97,-0.247934915,0,12,2,0,1,1,0,0,0,0,5,2,0
130108,43,Buy More Supercenter,KS,66441,407,51,Central,Topeka,1,2018,21376.4897,22880.56,32788.14,-0.065735729,0,4,2,2,0,0,2,7,0,2,0,2,1
129917,3807,Buy More Supercenter,AZ,85602,367,46,West,Tucson,2,2016,13787.4032,15420.58,32690.46,-0.105908909,0,1,0,0,1,0,0,0,0,0,1,0,0
130619,512,Buy More Supercenter,TX,79935,505,46,Central,El Paso,1,2018,13935.1897,25519.1,32591.6701,-0.453930989,0,2,4,0,0,0,0,1,1,0,0,0,0
127647,1360,Buy More Supercenter,WV,25840,317,41,Northeast,Charleston-Huntington,2,2018,5282.5699,38897.7898,32578.0233,-0.864193572,0,3,3,2,0,0,1,5,8,5,3,1,1
129424,3214,Buy More Supercenter,VA,23435,289,27,Northeast,Norfolk-Portsmouth,2,2018,16426.64,23696.55,32577.6866,-0.306791917,0,1,0,4,0,0,0,2,0,0,1,0,4
676924,8027,Home Office,AR,72716,None,None,Central,Little Rock-Springdale,3,2018,7859.9997,23623.53,32547.45,-0.667280897,0,0,0,0,0,0,0,0,0,0,0,0,0
128944,2612,Buy More Supercenter,TX,79936,505,46,Central,El Paso,1,2017,63436.3398,48216.4933,32495.97,0.315656437,0,3,0,0,0,0,0,3,0,0,1,0,0
130952,554,Buy More,TX,78041,88,8,Central,San Antonio,2,2016,67877.3299,67282.49,32469.12,0.008840932,0,0,0,0,0,0,0,0,0,0,0,0,0
132042,8134,Member's Buy More,AR,72903,6,South Central,Central,Little Rock-Springdale,3,2017,10994.77,6707.1299,32442.64,0.639266,1,1,1,0,1,0,0,1,0,0,1,0,0
